Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4
JESSICA L2,Kowloon Cricket Club L2,HK Squash Centre,1,08/10/2024,2-2,"['3-0', '0-3', '3-2', '0-3']",2,2,6,8,JESSICA L2,Kowloon Cricket Club L2,JESSICA L2,Kowloon Cricket Club L2
Hong Kong Football Club L2C,Hong Kong Cricket Club L2,Hong Kong Football Club,1,08/10/2024,1-3,"['3-2', '1-3', '0-3', '0-3']",1,3,4,11,Hong Kong Football Club L2C,Hong Kong Cricket Club L2,Hong Kong Cricket Club L2,Hong Kong Cricket Club L2
Hong Kong Football Club L2A,Hong Kong Football Club L2B,Hong Kong Football Club,1,08/10/2024,2-2,"['0-3', '0-3', '3-2', '3-2']",2,2,6,10,Hong Kong Football Club L2B,Hong Kong Football Club L2B,Hong Kong Football Club L2A,Hong Kong Football Club L2A
JESSICA L2,Hong Kong Football Club L2B,HK Squash Centre,2,15/10/2024,2-2,"['3-0', '0-3', '3-2', '1-3']",2,2,7,8,JESSICA L2,Hong Kong Football Club L2B,JESSICA L2,Hong Kong Football Club L2B
Hong Kong Cricket Club L2,Kowloon Cricket Club L2,Hong Kong Cricket Club,2,15/10/2024,0-4,"['0-3', '0-3', '1-3', '0-3']",0,4,1,12,Kowloon Cricket Club L2,Kowloon Cricket Club L2,Kowloon Cricket Club L2,Kowloon Cricket Club L2
Hong Kong Football Club L2C,Hong Kong Football Club L2A,Hong Kong Football Club,2,15/10/2024,1-3,"['0-3', '2-3', '3-0', '0-3']",1,3,5,9,Hong Kong Football Club L2A,Hong Kong Football Club L2A,Hong Kong Football Club L2C,Hong Kong Football Club L2A
Hong Kong Cricket Club L2,JESSICA L2,Hong Kong Cricket Club,3,22/10/2024,0-4,"['0-3', '0-3', '0-3', '0-3']",0,4,0,12,JESSICA L2,JESSICA L2,JESSICA L2,JESSICA L2
Kowloon Cricket Club L2,Hong Kong Football Club L2A,Kowloon Cricket Club,3,22/10/2024,2-2,"['1-3', '3-0', '3-0', '1-3']",2,2,8,6,Hong Kong Football Club L2A,Kowloon Cricket Club L2,Kowloon Cricket Club L2,Hong Kong Football Club L2A
Hong Kong Football Club L2C,Hong Kong Football Club L2B,Hong Kong Football Club,3,22/10/2024,0-4,"['0-3', '0-3', '0-3', 'CR']",0,4,0,12,Hong Kong Football Club L2B,Hong Kong Football Club L2B,Hong Kong Football Club L2B,
Hong Kong Football Club L2B,Kowloon Cricket Club L2,Hong Kong Football Club,4,29/10/2024,2-2,"['0-3', '2-3', '3-2', '3-1']",2,2,8,9,Kowloon Cricket Club L2,Kowloon Cricket Club L2,Hong Kong Football Club L2B,Hong Kong Football Club L2B
Hong Kong Football Club L2A,Hong Kong Cricket Club L2,Hong Kong Football Club,4,29/10/2024,2-2,"['3-1', '0-3', '3-1', '0-3']",2,2,6,8,Hong Kong Football Club L2A,Hong Kong Cricket Club L2,Hong Kong Football Club L2A,Hong Kong Cricket Club L2
JESSICA L2,Hong Kong Football Club L2C,HK Squash Centre,4,29/10/2024,4-0,"['3-0', '3-0', '3-0', '3-1']",4,0,12,1,JESSICA L2,JESSICA L2,JESSICA L2,JESSICA L2
Hong Kong Football Club L2B,Hong Kong Cricket Club L2,Hong Kong Football Club,5,05/11/2024,4-0,"['3-0', '3-2', '3-0', '3-0']",4,0,12,2,Hong Kong Football Club L2B,Hong Kong Football Club L2B,Hong Kong Football Club L2B,Hong Kong Football Club L2B
Kowloon Cricket Club L2,Hong Kong Football Club L2C,Kowloon Cricket Club,5,05/11/2024,4-0,"['3-0', '3-1', '3-0', 'WO']",4,0,12,1,Kowloon Cricket Club L2,Kowloon Cricket Club L2,Kowloon Cricket Club L2,
Hong Kong Football Club L2A,JESSICA L2,Hong Kong Football Club,5,05/11/2024,1-3,"['1-3', '0-3', '1-3', '3-0']",1,3,5,9,JESSICA L2,JESSICA L2,JESSICA L2,Hong Kong Football Club L2A
Kowloon Cricket Club L2,JESSICA L2,Kowloon Cricket Club,6,12/11/2024,2-2,"['0-3', '0-3', '3-0', '3-0']",2,2,6,6,JESSICA L2,JESSICA L2,Kowloon Cricket Club L2,Kowloon Cricket Club L2
Hong Kong Cricket Club L2,Hong Kong Football Club L2C,Hong Kong Cricket Club,6,12/11/2024,3-1,"['3-2', '3-1', '3-0', '0-3']",3,1,9,6,Hong Kong Cricket Club L2,Hong Kong Cricket Club L2,Hong Kong Cricket Club L2,Hong Kong Football Club L2C
Hong Kong Football Club L2B,Hong Kong Football Club L2A,Hong Kong Football Club,6,12/11/2024,3-1,"['1-3', '3-0', '3-0', '3-1']",3,1,10,4,Hong Kong Football Club L2A,Hong Kong Football Club L2B,Hong Kong Football Club L2B,Hong Kong Football Club L2B
Hong Kong Football Club L2B,JESSICA L2,Hong Kong Football Club,7,19/11/2024,2-2,"['3-1', '3-0', '0-3', '2-3']",2,2,8,7,Hong Kong Football Club L2B,Hong Kong Football Club L2B,JESSICA L2,JESSICA L2
Kowloon Cricket Club L2,Hong Kong Cricket Club L2,Kowloon Cricket Club,7,19/11/2024,4-0,"['3-1', '3-0', '3-0', '3-1']",4,0,12,2,Kowloon Cricket Club L2,Kowloon Cricket Club L2,Kowloon Cricket Club L2,Kowloon Cricket Club L2
Hong Kong Football Club L2A,Hong Kong Football Club L2C,Hong Kong Football Club,7,19/11/2024,2-2,"['1-3', '3-1', '0-3', '3-0']",2,2,7,7,Hong Kong Football Club L2C,Hong Kong Football Club L2A,Hong Kong Football Club L2C,Hong Kong Football Club L2A
JESSICA L2,Hong Kong Cricket Club L2,HK Squash Centre,8,26/11/2024,4-0,"['3-0', '3-0', '3-2', '3-0']",4,0,12,2,JESSICA L2,JESSICA L2,JESSICA L2,JESSICA L2
Hong Kong Football Club L2A,Kowloon Cricket Club L2,Hong Kong Football Club,8,26/11/2024,1-3,"['3-0', '0-3', '1-3', '0-3']",1,3,4,9,Hong Kong Football Club L2A,Kowloon Cricket Club L2,Kowloon Cricket Club L2,Kowloon Cricket Club L2
Hong Kong Football Club L2B,Hong Kong Football Club L2C,Hong Kong Football Club,8,26/11/2024,3-1,"['3-0', '3-0', '3-0', '1-3']",3,1,10,3,Hong Kong Football Club L2B,Hong Kong Football Club L2B,Hong Kong Football Club L2B,Hong Kong Football Club L2C
Hong Kong Cricket Club L2,Hong Kong Football Club L2B,Hong Kong Cricket Club,9,17/12/2024,0-4,"['0-3', '0-3', '1-3', '1-3']",0,4,2,12,Hong Kong Football Club L2B,Hong Kong Football Club L2B,Hong Kong Football Club L2B,Hong Kong Football Club L2B
Hong Kong Football Club L2C,Kowloon Cricket Club L2,HK Squash Centre,9,17/12/2024,0-4,"['0-3', '0-3', '0-3', 'WO']",0,4,0,12,Kowloon Cricket Club L2,Kowloon Cricket Club L2,Kowloon Cricket Club L2,
JESSICA L2,Hong Kong Football Club L2A,HK Squash Centre,9,17/12/2024,4-0,"['3-2', '3-0', '3-0', 'CR']",4,0,12,2,JESSICA L2,JESSICA L2,JESSICA L2,
JESSICA L2,Kowloon Cricket Club L2,HK Squash Centre,10,07/01/2025,2-2,"['3-0', '0-3', '3-0', '0-3']",2,2,6,6,JESSICA L2,Kowloon Cricket Club L2,JESSICA L2,Kowloon Cricket Club L2
Hong Kong Football Club L2C,Hong Kong Cricket Club L2,Hong Kong Football Club,10,07/01/2025,2-2,"['0-3', '1-3', '3-0', '3-0']",2,2,7,6,Hong Kong Cricket Club L2,Hong Kong Cricket Club L2,Hong Kong Football Club L2C,Hong Kong Football Club L2C
Hong Kong Football Club L2A,Hong Kong Football Club L2B,Hong Kong Football Club,10,07/01/2025,2-2,"['3-0', '0-3', '0-3', '3-2']",2,2,6,8,Hong Kong Football Club L2A,Hong Kong Football Club L2B,Hong Kong Football Club L2B,Hong Kong Football Club L2A
JESSICA L2,Hong Kong Football Club L2B,HK Squash Centre,11,14/01/2025,2-2,"['3-0', '3-2', '1-3', '0-3']",2,2,7,8,JESSICA L2,JESSICA L2,Hong Kong Football Club L2B,Hong Kong Football Club L2B
Hong Kong Cricket Club L2,Kowloon Cricket Club L2,Hong Kong Cricket Club,11,14/01/2025,0-4,"['0-3', '1-3', '0-3', '0-3']",0,4,1,12,Kowloon Cricket Club L2,Kowloon Cricket Club L2,Kowloon Cricket Club L2,Kowloon Cricket Club L2
Hong Kong Football Club L2C,Hong Kong Football Club L2A,Hong Kong Football Club,11,14/01/2025,1-3,"['0-3', '3-1', '0-3', '0-3']",1,3,3,10,Hong Kong Football Club L2A,Hong Kong Football Club L2C,Hong Kong Football Club L2A,Hong Kong Football Club L2A
Hong Kong Cricket Club L2,JESSICA L2,Hong Kong Cricket Club,12,21/01/2025,1-3,"['0-3', '1-3', '2-3', 'CR']",1,3,3,12,JESSICA L2,JESSICA L2,JESSICA L2,
Kowloon Cricket Club L2,Hong Kong Football Club L2A,Kowloon Cricket Club,12,21/01/2025,4-0,"['3-0', '3-0', '3-1', '3-0']",4,0,12,1,Kowloon Cricket Club L2,Kowloon Cricket Club L2,Kowloon Cricket Club L2,Kowloon Cricket Club L2
Hong Kong Football Club L2C,Hong Kong Football Club L2B,Hong Kong Football Club,12,21/01/2025,0-4,"['1-3', '0-3', '1-3', '1-3']",0,4,3,12,Hong Kong Football Club L2B,Hong Kong Football Club L2B,Hong Kong Football Club L2B,Hong Kong Football Club L2B
Hong Kong Football Club L2B,Kowloon Cricket Club L2,Hong Kong Football Club,13,11/02/2025,1-3,"['2-3', '0-3', '2-3', '3-0']",1,3,7,9,Kowloon Cricket Club L2,Kowloon Cricket Club L2,Kowloon Cricket Club L2,Hong Kong Football Club L2B
Hong Kong Football Club L2A,Hong Kong Cricket Club L2,Hong Kong Football Club,13,11/02/2025,3-1,"['3-1', '2-3', '3-0', '3-0']",3,1,11,4,Hong Kong Football Club L2A,Hong Kong Cricket Club L2,Hong Kong Football Club L2A,Hong Kong Football Club L2A
JESSICA L2,Hong Kong Football Club L2C,Cornwall Street Squash Centre,13,11/02/2025,2-2,"['3-0', '3-1', '1-3', '0-3']",2,2,7,7,JESSICA L2,JESSICA L2,Hong Kong Football Club L2C,Hong Kong Football Club L2C
